No. of Users,Batch Size,Batch Timeout (ms),Median,Average,Min,Max,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
10,128,100,150,148.53,86,230,150,150,150,160,170,170,180,200,230,230,230
15,128,100,160,157.37,90,232,160,160,160,160,170,170,190,210,230,230,232
20,128,100,160,159.01,72,229,160,160,160,160,170,170,190,200,230,230,230
25,128,100,160,162.65,68,266,160,160,170,170,170,180,200,220,260,270,270
30,128,100,170,172.08,85,250,170,180,180,180,180,180,190,200,250,250,250
40,128,100,180,179.39,71,295,180,190,190,190,190,200,200,220,280,300,300
45,128,100,200,193.3,72,323,200,200,200,200,210,220,250,260,320,320,320
50,128,100,200,199.68,74,350,200,200,210,210,220,230,240,270,350,350,350
60,128,100,210,208.34,71,328,210,220,220,220,220,230,240,280,320,330,330
70,128,100,220,215.36,80,408,220,220,220,230,230,240,260,280,340,360,370
80,128,100,220,213.56,58,355,220,230,230,240,240,260,290,310,350,350,360
90,128,100,250,241.45,83,370,250,270,270,280,290,290,300,310,360,370,370
100,128,100,290,277.04,101,368,290,290,300,300,300,300,320,340,360,370,370